Location,Status,Reason
Sensor 1 at Lake 1,Unsafe,"pH too low, turbidity too high"
Sensor 2 at Lake 2,Unsafe,turbidity too high
Sensor 3 at Lake 3,Unsafe,turbidity too high
Sensor 4 at Lake 4,Unsafe,turbidity too high
Sensor 5 at Lake 5,Unsafe,turbidity too high
Sensor 6 at Lake 6,Unsafe,turbidity too high
Sensor 7 at Lake 7,Unsafe,turbidity too high
Sensor 8 at Lake 8,Unsafe,turbidity too high
Sensor 9 at Lake 9,Unsafe,turbidity too high
Sensor 10 at Lake 10,Unsafe,turbidity too high
Sensor 11 at Lake 11,Unsafe,turbidity too high
Sensor 12 at Lake 12,Unsafe,turbidity too high
Sensor 13 at Lake 13,Unsafe,turbidity too high
Sensor 14 at Lake 14,Unsafe,turbidity too high
Sensor 15 at Lake 15,Unsafe,turbidity too high
Sensor 16 at Lake 16,Unsafe,turbidity too high
Sensor 17 at Lake 17,Unsafe,turbidity too high
Sensor 18 at Lake 18,Unsafe,turbidity too high
Sensor 19 at Lake 19,Unsafe,turbidity too high
Sensor 20 at Lake 20,Unsafe,turbidity too high
Sensor 21 at Lake 21,Unsafe,turbidity too high
Sensor 22 at Lake 22,Unsafe,turbidity too high
Sensor 23 at Lake 23,Unsafe,turbidity too high
Sensor 24 at Lake 24,Unsafe,turbidity too high
Sensor 25 at Lake 25,Unsafe,turbidity too high
Sensor 26 at Lake 26,Unsafe,turbidity too high
Sensor 27 at Lake 27,Unsafe,turbidity too high
Sensor 28 at Lake 28,Unsafe,turbidity too high
Sensor 29 at Lake 29,Unsafe,turbidity too high
Sensor 30 at Lake 30,Unsafe,turbidity too high
Sensor 31 at Lake 31,Unsafe,turbidity too high
Sensor 32 at Lake 32,Unsafe,"pH too low, turbidity too high"
Sensor 33 at Lake 33,Unsafe,turbidity too high
Sensor 34 at Lake 34,Unsafe,turbidity too high
Sensor 35 at Lake 35,Unsafe,"pH too low, turbidity too high"
Sensor 36 at Lake 36,Unsafe,turbidity too high
Sensor 37 at Lake 37,Unsafe,turbidity too high
Sensor 38 at Lake 38,Unsafe,turbidity too high
Sensor 39 at Lake 39,Unsafe,turbidity too high
Sensor 40 at Lake 40,Unsafe,turbidity too high
Sensor 41 at Lake 41,Unsafe,turbidity too high
Sensor 42 at Lake 42,Unsafe,turbidity too high
Sensor 43 at Lake 43,Unsafe,turbidity too high
Sensor 44 at Lake 44,Unsafe,turbidity too high
Sensor 45 at Lake 45,Unsafe,turbidity too high
Sensor 46 at Lake 46,Unsafe,"pH too low, turbidity too high"
Sensor 47 at Lake 47,Safe,
Sensor 48 at Lake 48,Safe,
Sensor 49 at Lake 49,Unsafe,"pH too low, turbidity too high"
Sensor 50 at Lake 50,Unsafe,turbidity too high
Sensor 51 at Lake 51,Unsafe,turbidity too high
Sensor 52 at Lake 52,Unsafe,turbidity too high
Sensor 53 at Lake 53,Unsafe,turbidity too high
Sensor 54 at Lake 54,Unsafe,turbidity too high
Sensor 55 at Lake 55,Unsafe,turbidity too high
Sensor 56 at Lake 56,Unsafe,"pH too low, turbidity too high"
Sensor 57 at Lake 57,Unsafe,"pH too low, turbidity too high"
Sensor 58 at Lake 58,Unsafe,turbidity too high
Sensor 59 at Lake 59,Unsafe,turbidity too high
Sensor 60 at Lake 60,Unsafe,turbidity too high
Sensor 61 at Lake 61,Unsafe,"pH too low, turbidity too high"
Sensor 62 at Lake 62,Unsafe,turbidity too high
Sensor 63 at Lake 63,Unsafe,turbidity too high
Sensor 64 at Lake 64,Unsafe,turbidity too high
Sensor 65 at Lake 65,Unsafe,turbidity too high
Sensor 66 at Lake 66,Unsafe,"pH too low, turbidity too high"
Sensor 67 at Lake 67,Unsafe,turbidity too high
Sensor 68 at Lake 68,Unsafe,turbidity too high
Sensor 69 at Lake 69,Unsafe,turbidity too high
Sensor 70 at Lake 70,Unsafe,"pH too low, turbidity too high"
Sensor 71 at Lake 71,Unsafe,turbidity too high
Sensor 72 at Lake 72,Unsafe,turbidity too high
Sensor 73 at Lake 73,Unsafe,turbidity too high
Sensor 74 at Lake 74,Unsafe,turbidity too high
Sensor 75 at Lake 75,Unsafe,turbidity too high
Sensor 76 at Lake 76,Unsafe,"pH too low, turbidity too high"
Sensor 77 at Lake 77,Unsafe,turbidity too high
Sensor 78 at Lake 78,Unsafe,turbidity too high
Sensor 79 at Lake 79,Unsafe,turbidity too high
Sensor 80 at Lake 80,Unsafe,"pH too low, turbidity too high"
Sensor 81 at Lake 81,Unsafe,"pH too low, turbidity too high"
Sensor 82 at Lake 82,Unsafe,turbidity too high
Sensor 83 at Lake 83,Unsafe,turbidity too high
Sensor 84 at Lake 84,Unsafe,turbidity too high
Sensor 85 at Lake 85,Unsafe,"pH too low, turbidity too high"
Sensor 86 at Lake 86,Unsafe,turbidity too high
Sensor 87 at Lake 87,Unsafe,turbidity too high
Sensor 88 at Lake 88,Unsafe,turbidity too high
Sensor 89 at Lake 89,Unsafe,turbidity too high
Sensor 90 at Lake 90,Unsafe,turbidity too high
